id	trait	prot_name	chromosome_name	transcription_start_site	file
SeqId_10085_25	P49675	STAR	8	38148754	SeqId_10085_25
SeqId_10086_39	P35520	CBS	21	43058941	SeqId_10086_39
SeqId_10087_10	P02489	CRYAA	21	43169008	SeqId_10087_10
SeqId_10088_37	P07741	APRT	16	88810268	SeqId_10088_37
SeqId_10336_3	Q9UNE7	STUB1	16	680224	SeqId_10336_3
SeqId_10339_48	P09104	ENO2	12	6913745	SeqId_10339_48
SeqId_10342_55	Q8N2W9	PIAS4	19	4007736	SeqId_10342_55
SeqId_10344_334	Q13651	IL10RA	11	117986348	SeqId_10344_334
SeqId_10346_5	P40763	STAT3	17	42316853	SeqId_10346_5
SeqId_10356_21	P05412	JUN	1	58784047	SeqId_10356_21
SeqId_10361_25	P00973	OAS1	12	112906783	SeqId_10361_25
SeqId_10362_35	P01106	MYC	8	127735434	SeqId_10362_35
SeqId_10363_13	P84022	SMAD3	15	67063763	SeqId_10363_13
SeqId_10364_6	Q15796	SMAD2	18	47886923	SeqId_10364_6
SeqId_10366_11	P16234	PDGFRA	4	54229280	SeqId_10366_11
SeqId_10370_21	P42224	STAT1	2	190980233	SeqId_10370_21
SeqId_10372_18	P42226	STAT6	12	57097290	SeqId_10372_18
SeqId_10390_21	Q9ULT6	ZNRF3	22	28883572	SeqId_10390_21
SeqId_10391_1	Q9Y5C1	ANGPTL3	1	62597520	SeqId_10391_1
SeqId_10396_6	Q07820	MCL1	1	150578777	SeqId_10396_6
SeqId_10418_36	Q86Y82	STX12	1	27773219	SeqId_10418_36
SeqId_10419_1	Q6ZMJ2	SCARA5	8	27987615	SeqId_10419_1
SeqId_10424_31	Q9NQX5	NPDC1	9	137040156	SeqId_10424_31
SeqId_10425_3	O43286	B4GALT5	20	49713878	SeqId_10425_3
SeqId_10430_31	P08195	SLC3A2	11	62856102	SeqId_10430_31
SeqId_10432_3	Q3SXP7	KIAA1644	22	44312951	SeqId_10432_3
SeqId_10435_2	P20933	AGA	4	177439624	SeqId_10435_2
SeqId_10440_26	Q9H6B4	CLMP	11	123083736	SeqId_10440_26
SeqId_10442_1	Q8WZ59	TMEM190	19	55376826	SeqId_10442_1
SeqId_10445_20	O95445	APOM	6	31652416	SeqId_10445_20
SeqId_10447_18	Q9H361	PABPC3	13	25095868	SeqId_10447_18
SeqId_10449_31	Q6UWI4	SHISA2	13	26051031	SeqId_10449_31
SeqId_10451_11	Q02818	NUCB1	19	48900312	SeqId_10451_11
SeqId_10453_7	Q6UY09	CEACAM20	19	44529525	SeqId_10453_7
SeqId_10454_99	Q9Y2G8	DNAJC16	1	15526813	SeqId_10454_99
SeqId_10455_196	Q6EBC2	IL31	12	122174221	SeqId_10455_196
SeqId_10462_14	Q9Y5Q6	INSL5	1	66801256	SeqId_10462_14
SeqId_10464_6	Q9H6X2	ANTXR1	2	69013178	SeqId_10464_6
SeqId_10490_3	P04843	RPN1	3	128627266	SeqId_10490_3
SeqId_10496_11	A8K7I4	CLCA1	1	86468368	SeqId_10496_11
SeqId_10499_1	Q96A25	TMEM106A	17	43211835	SeqId_10499_1
SeqId_10506_53	O15173	PGRMC2	4	128273061	SeqId_10506_53
SeqId_10507_166	P26436	ACRV1	11	125680831	SeqId_10507_166
SeqId_10510_62	Q6UWF3	SCIMP	17	5234823	SeqId_10510_62
SeqId_10512_13	P32927	CSF2RB	22	36913628	SeqId_10512_13
SeqId_10513_13	Q9Y2W7	KCNIP3	2	95297327	SeqId_10513_13
SeqId_10514_5	P41222	PTGDS	9	136975092	SeqId_10514_5
SeqId_10521_10	Q9BRK3	MXRA8	1	1354247	SeqId_10521_10
SeqId_10527_22	Q08211	DHX9	1	182839347	SeqId_10527_22
SeqId_10530_8	P28072	PSMB6	17	4796144	SeqId_10530_8
SeqId_10531_18	P01111	NRAS	1	114716771	SeqId_10531_18
SeqId_10534_40	P09874	PARP1	1	226362252	SeqId_10534_40
SeqId_10535_25	Q02221	COX6A2	16	31428285	SeqId_10535_25
SeqId_10546_2	Q8WU66	TSPEAR	21	44573816	SeqId_10546_2
SeqId_10550_37	O00238	BMPR1B	4	94757955	SeqId_10550_37
SeqId_10551_7	O43561	LAT	16	28984826	SeqId_10551_7
SeqId_10552_88	O43908	KLRC4	12	10409757	SeqId_10552_88
SeqId_10553_8	Q8NFQ8	TOR1AIP2	1	179877772	SeqId_10553_8
SeqId_10557_6	Q8N6K0	TEX29	13	111316184	SeqId_10557_6
SeqId_10558_26	Q9HC56	PCDH9	13	66306309	SeqId_10558_26
SeqId_10560_1	Q9NQX7	ITM2C	2	230864639	SeqId_10560_1
SeqId_10561_5	Q96LB9	PGLYRP3	1	153310718	SeqId_10561_5
SeqId_10562_42	Q8NC67	NETO2	16	47109634	SeqId_10562_42
SeqId_10563_13	Q7Z3D4	LYSMD3	5	90529561	SeqId_10563_13
SeqId_10565_19	O94933	SLITRK3	3	165196384	SeqId_10565_19
SeqId_10571_14	P26572	MGAT1	5	180802767	SeqId_10571_14
SeqId_10572_65	O60676	CST8	20	23491101	SeqId_10572_65
SeqId_10575_31	Q9UHX1	PUF60	8	143818476	SeqId_10575_31
SeqId_10580_14	Q6UW10	SFTA2	6	30932109	SeqId_10580_14
SeqId_10582_36	Q9H5K3	POMK	8	43093506	SeqId_10582_36
SeqId_10583_1	Q6UXF1	TMEM108	3	133038391	SeqId_10583_1
SeqId_10584_7	O43181	NDUFS4	5	53560633	SeqId_10584_7
SeqId_10588_39	Q9UNP4	ST3GAL5	2	85846253	SeqId_10588_39
SeqId_10603_1	P15516	HTN3	4	70028413	SeqId_10603_1
SeqId_10605_22	Q9HDC9	APMAP	20	24992642	SeqId_10605_22
SeqId_10606_34	Q5JTV8	TOR1AIP1	1	179882042	SeqId_10606_34
SeqId_10608_9	P15515	HTN1	4	70050438	SeqId_10608_9
SeqId_10612_18	O60568	PLOD3	7	101210439	SeqId_10612_18
SeqId_10613_33	Q6P4E1	CASC4	15	44288719	SeqId_10613_33
SeqId_10615_18	P25189	MPZ	1	161306190	SeqId_10615_18
SeqId_10616_67	Q9NZ53	PODXL2	3	127629185	SeqId_10616_67
SeqId_10618_190	P98164	LRP2	2	169139663	SeqId_10618_190
SeqId_10620_21	P08118	MSMB	10	46046269	SeqId_10620_21
SeqId_10621_26	Q569H4	PRR16	5	120464300	SeqId_10621_26
SeqId_10623_19	P15941	MUC1	1	155187767	SeqId_10623_19
SeqId_10624_45	Q1W4C9	SPINK13	5	148268180	SeqId_10624_45
SeqId_10627_87	Q06481	APLP2	11	130068147	SeqId_10627_87
SeqId_10630_5	Q9BUP3	HTATIP2	11	20363685	SeqId_10630_5
SeqId_10637_50	Q6UXG2	KIAA1324	1	109113679	SeqId_10637_50
SeqId_10638_1	Q9BSI4	TINF2	14	24240242	SeqId_10638_1
SeqId_10643_16	Q96PB7	OLFM3	1	101837029	SeqId_10643_16
SeqId_10647_18	Q8N9N2	ASCC1	10	72134463	SeqId_10647_18
SeqId_10663_42	O15503	INSIG1	7	155297776	SeqId_10663_42
SeqId_10666_7	Q9UJJ9	GNPTG	16	1351931	SeqId_10666_7
SeqId_10667_78	Q5T7R7	C1orf185	1	51102221	SeqId_10667_78
SeqId_10668_5	Q12846	STX4	16	31032889	SeqId_10668_5
SeqId_10672_75	P07988	SFTPB	2	85663478	SeqId_10672_75
SeqId_10675_223	Q9Y320	TMX2	11	57712593	SeqId_10675_223
SeqId_10677_9	O95168	NDUFB4	3	120596328	SeqId_10677_9
SeqId_10693_43	A4D1S0	KLRG2	7	139483663	SeqId_10693_43
SeqId_10695_12	Q8IUB3	WFDC10B	20	45705019	SeqId_10695_12
SeqId_10699_52	Q07954	LRP1	12	57128483	SeqId_10699_52
SeqId_10700_10	Q5DX21	IGSF11	3	118930253	SeqId_10700_10
SeqId_10702_1	Q2UY09	COL28A1	7	7360459	SeqId_10702_1
SeqId_10703_203	Q9H7L9	SUDS3	12	118376555	SeqId_10703_203
SeqId_10705_14	Q8NDV1	ST6GALNAC3	1	76074746	SeqId_10705_14
SeqId_10708_3	O43555	GNRH2	20	3043622	SeqId_10708_3
SeqId_10710_23	Q6X784	ZPBP2	17	39868164	SeqId_10710_23
SeqId_10713_151	A8K4G0	CD300LB	17	74531474	SeqId_10713_151
SeqId_10714_7	P12821	ACE	17	63477061	SeqId_10714_7
SeqId_10716_35	Q16401	PSMD5	9	120824518	SeqId_10716_35
SeqId_10722_13	P43405	SYK	9	90801787	SeqId_10722_13
SeqId_10731_10	Q8IZT8	HS3ST5	6	114062877	SeqId_10731_10
SeqId_10737_96	P30740	SERPINB1	6	2837999	SeqId_10737_96
SeqId_10748_216	Q9Y5E7	PCDHB2	5	141094606	SeqId_10748_216
SeqId_10752_8	Q8N8U2	CDYL2	16	80633180	SeqId_10752_8
SeqId_10753_31	Q9H2U9	ADAM7	8	24440930	SeqId_10753_31
SeqId_10754_113	Q9HC23	PROK2	3	71785148	SeqId_10754_113
SeqId_10756_34	Q969E3	UCN3	10	5364966	SeqId_10756_34
SeqId_10758_2	O60938	KERA	12	91057983	SeqId_10758_2
SeqId_10760_107	P48058	GRIA4	11	105609994	SeqId_10760_107
SeqId_10761_5	Q15363	TMED2	12	123584533	SeqId_10761_5
SeqId_10762_2	A4D1S0	KLRG2	7	139483663	SeqId_10762_2
SeqId_10772_21	Q8N6G5	CSGALNACT2	10	43138445	SeqId_10772_21
SeqId_10781_19	Q6UXB4	CLEC4G	19	7732171	SeqId_10781_19
SeqId_10785_8	Q8N7C0	LRRC52	1	165544007	SeqId_10785_8
SeqId_10798_4	Q496F6	CD300E	17	74619347	SeqId_10798_4
SeqId_10800_15	P50454	SERPINH1	11	75562056	SeqId_10800_15
SeqId_10809_14	Q12918	KLRB1	12	9607916	SeqId_10809_14
SeqId_10814_7	P06126	CD1A	1	158254424	SeqId_10814_7
SeqId_10815_2	Q5JVS0	HABP4	9	96450169	SeqId_10815_2
SeqId_10816_150	Q9UKJ1	PILRA	7	100367530	SeqId_10816_150
SeqId_10817_26	Q6UXN7	TOMM20L	14	58395928	SeqId_10817_26
SeqId_10818_36	P17405	SMPD1	11	6390440	SeqId_10818_36
SeqId_10825_12	Q8N0Z9	VSIG10	12	118073741	SeqId_10825_12
SeqId_10827_67	P0C6S8	LINGO3	19	2292024	SeqId_10827_67
SeqId_10830_5	O75071	EFCAB14	1	46684564	SeqId_10830_5
SeqId_10832_24	Q9UBX8	B4GALT6	18	31658464	SeqId_10832_24
SeqId_10833_64	Q96QV1	HHIP	4	144646156	SeqId_10833_64
SeqId_10835_25	Q9UNA3	A4GNT	3	138132390	SeqId_10835_25
SeqId_10842_7	Q9P109	GCNT4	5	75030899	SeqId_10842_7
SeqId_10847_1	Q6ZMC9	SIGLEC15	18	45825675	SeqId_10847_1
SeqId_10848_137	Q6UXE8	BTNL3	5	180988846	SeqId_10848_137
SeqId_10851_77	Q14213	EBI3	19	4229523	SeqId_10851_77
SeqId_10852_114	O14979	HNRNPDL	4	82429397	SeqId_10852_114
SeqId_10866_60	Q6IN85	SMEK1	14	91461684	SeqId_10866_60
SeqId_10876_300	Q6PJG6	BRAT1	7	2541024	SeqId_10876_300
SeqId_10880_38	P0C2L3	FAM163B	9	133580246	SeqId_10880_38
SeqId_10882_12	Q08554	DSC1	18	31162856	SeqId_10882_12
SeqId_10885_36	Q6UWU4	C6orf89	6	36871870	SeqId_10885_36
SeqId_10889_2	Q96G30	MRAP2	6	84033772	SeqId_10889_2
SeqId_10890_135	Q6UWM7	LCTL	15	66565497	SeqId_10890_135
SeqId_10892_8	Q99650	OSMR	5	38845858	SeqId_10892_8
SeqId_10895_28	Q86T26	TMPRSS11B	4	68229678	SeqId_10895_28
SeqId_10900_272	Q93045	STMN2	8	79610814	SeqId_10900_272
SeqId_10903_50	Q9UNK0	STX8	17	9273434	SeqId_10903_50
SeqId_10907_116	Q9P121	NTM	11	131370478	SeqId_10907_116
SeqId_10908_2	Q8IUC8	GALNT13	2	153871922	SeqId_10908_2
SeqId_10910_6	O75871	CEACAM4	19	41627074	SeqId_10910_6
SeqId_10916_44	Q13018	PLA2R1	2	159945000	SeqId_10916_44
SeqId_10917_40	O14610	GNGT2	17	49208912	SeqId_10917_40
SeqId_10924_258	Q8WUJ1	CYB5D2	17	4143168	SeqId_10924_258
SeqId_10933_107	Q9BXU9	CALN1	7	71810495	SeqId_10933_107
SeqId_10938_13	P19256	CD58	1	116544590	SeqId_10938_13
SeqId_10939_16	Q9H4M7	PLEKHA4	19	48838314	SeqId_10939_16
SeqId_10940_25	Q86TD4	SRL	16	4239743	SeqId_10940_25
SeqId_10945_11	O43752	STX6	1	180988301	SeqId_10945_11
SeqId_10948_14	Q8IV08	PLD3	19	40348456	SeqId_10948_14
SeqId_10949_59	P05387	RPLP2	11	809965	SeqId_10949_59
SeqId_10953_14	Q6UVW9	CLEC2A	12	9932347	SeqId_10953_14
SeqId_10955_4	Q8IUN9	CLEC10A	17	7076804	SeqId_10955_4
SeqId_10956_82	P23434	GCSH	16	81090668	SeqId_10956_82
SeqId_10959_125	Q9NYM9	BET1L	11	207221	SeqId_10959_125
SeqId_10961_15	Q9UL19	RARRES3	11	63536808	SeqId_10961_15
SeqId_10974_20	P58062	SPINK7	5	148312419	SeqId_10974_20
SeqId_10975_59	Q96DR8	MUCL1	12	54830518	SeqId_10975_59
SeqId_10977_55	Q8WVF2	UCMA	10	13234334	SeqId_10977_55
SeqId_10978_39	P01242	GH2	17	63881842	SeqId_10978_39
SeqId_10981_56	P56975	NRG3	10	81875194	SeqId_10981_56
SeqId_10990_21	Q5S007	LRRK2	12	40196744	SeqId_10990_21
SeqId_11067_13	P02818	BGLAP	1	156242184	SeqId_11067_13
SeqId_11071_1	P05113	IL5	5	132543522	SeqId_11071_1
SeqId_11094_104	Q05315	CLC	19	39738029	SeqId_11094_104
SeqId_11096_57	Q9Y5N5	N6AMT1	21	28885367	SeqId_11096_57
SeqId_11098_1	O00764	PDXK	21	43719094	SeqId_11098_1
SeqId_11101_18	O00206	TLR4	9	117704175	SeqId_11101_18
SeqId_11102_22	Q9BYZ8	REG4	1	119808805	SeqId_11102_22
SeqId_11103_24	P04792	HSPB1	7	76302673	SeqId_11103_24
SeqId_11104_13	P36222	CHI3L1	1	203180133	SeqId_11104_13
SeqId_11105_171	P06733	ENO1	1	8871576	SeqId_11105_171
SeqId_11107_25	Q9P273	TENM3	4	182143987	SeqId_11107_25
SeqId_11109_56	Q4LDE5	SVEP1	9	110379378	SeqId_11109_56
SeqId_11110_4	Q4V9L6	TMEM119	12	108598008	SeqId_11110_4
SeqId_11112_18	Q8TBQ9	TMEM167A	5	83061975	SeqId_11112_18
SeqId_11116_16	Q6NUJ2	C11orf87	11	109422190	SeqId_11116_16
SeqId_11117_2	Q8TB22	SPATA20	17	50543058	SeqId_11117_2
SeqId_11118_107	Q9H0T7	RAB17	2	237575884	SeqId_11118_107
SeqId_11120_49	Q8WUY8	NAT14	19	55485188	SeqId_11120_49
SeqId_11122_97	Q9NZD8	SPG21	15	64981627	SeqId_11122_97
SeqId_11126_102	O75962	TRIO	5	14143342	SeqId_11126_102
SeqId_11128_29	Q8N3T6	TMEM132C	12	128267403	SeqId_11128_29
SeqId_11130_158	O00305	CACNB4	2	151854479	SeqId_11130_158
SeqId_11134_30	Q9UGC7	MTRF1L	6	152994642	SeqId_11134_30
SeqId_11135_5	Q7Z7F7	MRPL55	1	228108275	SeqId_11135_5
SeqId_11137_43	P32927	CSF2RB	22	36913628	SeqId_11137_43
SeqId_11138_16	Q13761	RUNX3	1	24928798	SeqId_11138_16
SeqId_11140_56	P02452	COL1A1	17	50187122	SeqId_11140_56
SeqId_11142_11	O95841	ANGPTL1	1	178869278	SeqId_11142_11
SeqId_11143_32	Q96PB7	OLFM3	1	101837029	SeqId_11143_32
SeqId_11144_10	Q30KQ4	DEFB116	20	31308585	SeqId_11144_10
SeqId_11145_72	Q6ZVL6	KIAA1549L	11	33376083	SeqId_11145_72
SeqId_11147_17	Q86YW5	TREML1	6	41151620	SeqId_11147_17
SeqId_11149_3	Q15399	TLR1	4	38794633	SeqId_11149_3
SeqId_11152_46	Q9UKR3	KLK13	19	51064884	SeqId_11152_46
SeqId_11154_3	Q14494	NFE2L1	17	48048329	SeqId_11154_3
SeqId_11155_16	A8TX70	COL6A5	3	130345516	SeqId_11155_16
SeqId_11158_40	Q6ZP65	CCDC64	12	119989869	SeqId_11158_40
SeqId_11160_56	Q9H9V4	RNF122	8	33567128	SeqId_11160_56
SeqId_11161_5	Q8N0X7	SPG20	13	36312411	SeqId_11161_5
SeqId_11162_37	Q9NQ60	EQTN	9	27296740	SeqId_11162_37
SeqId_11163_7	Q5T6X4	FAM162B	6	116765719	SeqId_11163_7
SeqId_11164_7	Q9NT68	TENM2	5	167284799	SeqId_11164_7
SeqId_11168_3	Q96KG7	MEGF10	5	127290796	SeqId_11168_3
SeqId_11173_29	Q7Z6M3	MILR1	17	64449037	SeqId_11173_29
SeqId_11174_8	Q9UPZ6	THSD7A	7	11379755	SeqId_11174_8
SeqId_11175_45	Q7L5N7	LPCAT2	16	55509072	SeqId_11175_45
SeqId_11177_16	P13647	KRT5	12	52516196	SeqId_11177_16
SeqId_11178_21	Q4LDE5	SVEP1	9	110379378	SeqId_11178_21
SeqId_11179_7	Q9BXA7	TSSK1B	5	113434989	SeqId_11179_7
SeqId_11180_17	Q92922	SMARCC1	3	47610798	SeqId_11180_17
SeqId_11185_145	P30793	GCH1	14	54902446	SeqId_11185_145
SeqId_11186_12	Q8NDY8	TMEM52	1	1918797	SeqId_11186_12
SeqId_11187_11	Q5QGZ9	CLEC12A	12	9951316	SeqId_11187_11
SeqId_11190_129	Q96TA2	YME1L1	10	27136337	SeqId_11190_129
SeqId_11192_168	Q9GZM7	TINAGL1	1	31576485	SeqId_11192_168
SeqId_11193_27	P20823	HNF1A	12	120978543	SeqId_11193_27
SeqId_11194_6	Q9Y3P8	SIT1	9	35650470	SeqId_11194_6
SeqId_11196_31	P12111	COL6A3	2	237330180	SeqId_11196_31
SeqId_11198_37	Q96BA8	CREB3L1	11	46277662	SeqId_11198_37
SeqId_11201_19	Q9Y606	PUS1	12	131929200	SeqId_11201_19
SeqId_11202_70	Q99593	TBX5	12	114403898	SeqId_11202_70
SeqId_11204_80	P78310	CXADR	21	17513043	SeqId_11204_80
SeqId_11205_10	P26010	ITGB7	12	53192488	SeqId_11205_10
SeqId_11207_3	P21757	MSR1	8	16164251	SeqId_11207_3
SeqId_11208_15	Q9UK23	NAGPA	16	5028403	SeqId_11208_15
SeqId_11211_7	Q15813	TBCE	1	235328570	SeqId_11211_7
SeqId_11212_7	Q8NBS9	TXNDC5	6	7888961	SeqId_11212_7
SeqId_11214_40	Q9UBS3	DNAJB9	7	108569867	SeqId_11214_40
SeqId_11215_6	P55291	CDH15	16	89171748	SeqId_11215_6
SeqId_11217_16	Q13363	CTBP1	4	1213050	SeqId_11217_16
SeqId_11218_84	P51580	TPMT	6	18155077	SeqId_11218_84
SeqId_11219_95	Q8TAT2	FGFBP3	10	91909486	SeqId_11219_95
SeqId_11220_53	Q8TEF2	C10orf105	10	71719778	SeqId_11220_53
SeqId_11223_1	Q6P9G4	TMEM154	4	152641425	SeqId_11223_1
SeqId_11226_16	Q05086	UBE3A	15	25346031	SeqId_11226_16
SeqId_11227_31	Q9Y4P3	TBL2	7	73571394	SeqId_11227_31
SeqId_11228_37	Q7Z5B4	RIC3	11	8138425	SeqId_11228_37
SeqId_11229_16	O75460	ERN1	17	64054767	SeqId_11229_16
SeqId_11231_12	Q6P4F2	FDX1L	19	10315795	SeqId_11231_12
SeqId_11237_49	Q15113	PCOLCE	7	100602363	SeqId_11237_49
SeqId_11239_49	Q8IU80	TMPRSS6	22	37084825	SeqId_11239_49
SeqId_11241_8	P04424	ASL	7	66075800	SeqId_11241_8
SeqId_11242_33	P22735	TGM1	14	24255056	SeqId_11242_33
SeqId_11243_90	Q5T601	ADGRF1	6	47001972	SeqId_11243_90
SeqId_11247_20	Q8N159	NAGS	17	44004622	SeqId_11247_20
SeqId_11248_43	P10746	UROS	10	125795227	SeqId_11248_43
SeqId_11252_30	O75427	LRCH4	7	100576943	SeqId_11252_30
SeqId_11254_13	O95428	PAPLN	14	73237497	SeqId_11254_13
SeqId_11257_1	P09417	QDPR	4	17492508	SeqId_11257_1
SeqId_11258_41	Q13477	MADCAM1	19	489176	SeqId_11258_41
SeqId_11260_47	Q8TC36	SUN5	20	33004307	SeqId_11260_47
SeqId_11262_39	Q9H4I3	TRABD	22	50185915	SeqId_11262_39
SeqId_11263_57	P31415	CASQ1	1	160190575	SeqId_11263_57
SeqId_11264_33	P47989	XDH	2	31384395	SeqId_11264_33
SeqId_11265_8	P00352	ALDH1A1	9	72952962	SeqId_11265_8
SeqId_11266_8	Q14242	SELPLG	12	108624330	SeqId_11266_8
SeqId_11270_17	Q8WYQ3	CHCHD10	22	23766464	SeqId_11270_17
SeqId_11273_176	P0CG30	GSTT2B	22	23961153	SeqId_11273_176
SeqId_11275_94	Q9NZR2	LRP1B	2	140297969	SeqId_11275_94
SeqId_11277_23	P18850	ATF6	1	161766320	SeqId_11277_23
SeqId_11278_4	P13942	COL11A2	6	33177893	SeqId_11278_4
SeqId_11279_42	Q9UBS5	GABBR1	6	29605149	SeqId_11279_42
SeqId_11280_6	Q99259	GAD1	2	170813213	SeqId_11280_6
SeqId_11281_6	Q14451	GRB7	17	39737927	SeqId_11281_6
SeqId_11283_13	Q96JK2	DCAF5	14	69118194	SeqId_11283_13
SeqId_11284_24	Q6GTX8	LAIR1	19	54357347	SeqId_11284_24
SeqId_11286_78	Q9BQE4	VIMP	15	101277287	SeqId_11286_78
SeqId_11287_14	P00167	CYB5A	18	74261177	SeqId_11287_14
SeqId_11288_26	P49902	NT5C2	10	103094368	SeqId_11288_26
SeqId_11289_31	P48730	CSNK1D	17	82245113	SeqId_11289_31
SeqId_11292_13	Q6AZY7	SCARA3	8	27633868	SeqId_11292_13
SeqId_11293_14	Q6UXK5	LRRN1	3	3799431	SeqId_11293_14
SeqId_11297_54	Q04721	NOTCH2	1	119923905	SeqId_11297_54
SeqId_11300_32	Q99523	SORT1	1	109316927	SeqId_11300_32
SeqId_11302_237	Q92752	TNR	1	175406364	SeqId_11302_237
SeqId_11303_7	Q9Y3Z3	SAMHD1	20	36893066	SeqId_11303_7
SeqId_11307_33	Q9H0M0	WWP1	8	86342547	SeqId_11307_33
SeqId_11308_8	Q8TEY5	CREB3L4	1	153967534	SeqId_11308_8
SeqId_11311_79	P15918	RAG1	11	36510709	SeqId_11311_79
SeqId_11312_40	P54278	PMS2	7	6004006	SeqId_11312_40
SeqId_11313_100	P61457	PCBD1	10	70885899	SeqId_11313_100
SeqId_11315_148	O15297	PPM1D	17	60600183	SeqId_11315_148
SeqId_11319_106	P49959	MRE11A	11	94447300	SeqId_11319_106
SeqId_11320_29	Q96EP1	CHFR	12	132847802	SeqId_11320_29
SeqId_11324_3	A1KZ92	PXDNL	8	51340185	SeqId_11324_3
SeqId_11325_8	P78543	BTG2	1	203305491	SeqId_11325_8
SeqId_11327_56	P49760	CLK2	1	155269363	SeqId_11327_56
SeqId_11328_9	Q9BQ65	USB1	16	57999546	SeqId_11328_9
SeqId_11330_15	P67870	CSNK2B	6	31665236	SeqId_11330_15
SeqId_11333_82	P42331	ARHGAP25	2	68679601	SeqId_11333_82
SeqId_11334_7	O75022	LILRB3	19	54217698	SeqId_11334_7
SeqId_11336_9	Q9NPI8	FANCF	11	22625823	SeqId_11336_9
SeqId_11338_49	P51451	BLK	8	11486894	SeqId_11338_49
SeqId_11342_59	Q6UX71	PLXDC2	10	19816239	SeqId_11342_59
SeqId_11347_9	P37837	TALDO1	11	747415	SeqId_11347_9
SeqId_11348_132	O15460	P4HA2	5	132193568	SeqId_11348_132
SeqId_11350_30	Q9UNE7	STUB1	16	680224	SeqId_11350_30
SeqId_11351_233	Q9H9Q4	NHEJ1	2	219124764	SeqId_11351_233
SeqId_11352_42	Q8WZ42	TTN	2	178651516	SeqId_11352_42
SeqId_11354_21	Q9NQ66	PLCB1	20	8077251	SeqId_11354_21
SeqId_11355_10	Q9GZV4	EIF5A2	3	170908598	SeqId_11355_10
SeqId_11356_19	Q96DF8	DGCR14	22	19144633	SeqId_11356_19
SeqId_11358_15	Q13322	GRB10	7	50595840	SeqId_11358_15
SeqId_11360_39	P23921	RRM1	11	4094707	SeqId_11360_39
SeqId_11361_73	P19971	TYMP	22	50526337	SeqId_11361_73
SeqId_11363_58	P55087	AQP4	18	26862176	SeqId_11363_58
SeqId_11364_18	Q8IWA4	MFN1	3	179347709	SeqId_11364_18
SeqId_11365_17	Q6N022	TENM4	11	78702004	SeqId_11365_17
SeqId_11368_32	P54819	AK2	1	33012357	SeqId_11368_32
SeqId_11369_23	P11766	ADH5	4	99080023	SeqId_11369_23
