id	trait	prot_name
C3.2755.8.2	P01024	C3
C3orf18.6994.19.3	Q9UK00	C3orf18
C4A.C4B.4481.34.2	"P0C0L4	C4A
C5orf38.6378.2.3	Q86SI9	C5orf38
C5orf63.13378.80.3	A6NC05	C5orf63
C6.4127.75.1	P13671	C6
C6orf226.8078.15.3	Q5I0X4	C6orf226
C6orf89.10885.36.3	Q6UWU4	C6orf89
C7orf69.9544.24.3	Q9H7B7	C7orf69
C8A.C8B.C8G.2429.27.4	"P07357	C8A
C8orf33.9613.16.3	Q9H7E9	C8orf33
C9.3060.43.2	P02748	C9
C9orf89.7778.104.3	Q96LW7	C9orf89
CA1.4969.2.1	P00915	CA1
CA10.13666.222.3	Q9NS85	CA10
CA10.3289.19.2	Q9NS85	CA10
CA2.4970.55.1	P00918	CA2
CA3.3799.11.2	P07451	CA3
CA4.3177.49.2	P22748	CA4
CA5A.8791.151.3	P35218	CA5A
CA6.3352.80.3	P23280	CA6
CA9.3798.71.1	Q16790	CA9
CACNA2D3.8885.6.3	Q8IZS8	CACNA2D3
CACYBP.12432.23.3	Q9HB71	CACYBP
CADM1.3326.58.2	Q9BY67	CADM1
CADM3.3630.27.4	Q8N126	CADM3
CADM4.8619.12.3	Q8NFZ8	CADM4
CALB1.9918.23.3	P05937	CALB1
CALCA.10494.48.3	P01258	CALCA
CALCOCO2.12534.10.3	Q13137	CALCOCO2
CALN1.10933.107.3	Q9BXU9	CALN1
CALR.5264.65.3	P27797	CALR
CALY.10671.67.3	Q9NYX4	CALY
CAMK1.3592.4.3	Q14012	CAMK1
CAMK1D.3418.12.2	Q8IU85	CAMK1D
CAMK2A.3350.53.2	Q9UQM7	CAMK2A
CAMK2B.3351.1.1	Q13554	CAMK2B
CAMKK1.3877.67.2	Q8N5S9	CAMKK1
CAND1.13937.75.3	Q86VP6	CAND1
CANT1.6480.1.3	Q8WVQ1	CANT1
CANX.8834.58.3	P27824	CANX
CAPN2.14684.17.3	P17655	CAPN2
CAPN3.12385.4.3	P20807	CAPN3
CAPSL.13688.2.3	Q8WWF8	CAPSL
CARHSP1.12808.103.3	Q9Y2V2	CARHSP1
CARS.14098.28.3	P49589	CARS
CARTPT.5743.82.3	Q16568	CARTPT
CASC4.10613.33.3	Q6P4E1	CASC4
CASC4.8838.10.3	Q6P4E1	CASC4
CASP10.5340.24.3	Q92851	CASP10
CASP2.4904.7.1	P42575	CASP2
CASP3.3593.72.3	P42574	CASP3
CASS4.12855.16.3	Q9NQ75	CASS4
CAST.3026.5.2	P20810	CAST
CAT.3488.64.2	P04040	CAT
CAV2.9457.3.3	P51636	CAV2
CBFB.10048.7.3	Q13951	CBFB
CBL.12016.60.3	P22681	CBL
CBLN1.9313.27.3	P23435	CBLN1
CBLN4.5688.65.3	Q9NTU7	CBLN4
CBR1.12381.26.3	P16152	CBR1
CBR3.14091.42.3	O75828	CBR3
CBS.10086.39.3	P35520	CBS
CBX5.4540.11.2	P45973	CBX5
CBX7.13027.20.3	O95931	CBX7
CCBL2.12682.5.3	Q6YP21	CCBL2
CCDC101.12788.6.3	Q96ES7	CCDC101
CCDC126.6388.21.3	Q96EE4	CCDC126
CCDC134.5587.3.3	Q9H6E4	CCDC134
CCDC167.7797.11.3	Q9P0B6	CCDC167
CCDC51.12790.10.3	Q96ER9	CCDC51
CCDC80.3234.23.2	Q76M96	CCDC80
CCDC90B.7792.58.3	Q9GZT6	CCDC90B
CCL1.13687.5.3	P22362	CCL1
CCL1.2770.51.2	P22362	CCL1
CCL11.5301.7.3	P51671	CCL11
CCL13.4144.13.1	Q99616	CCL13
CCL14.2900.53.3	Q16627	CCL14
CCL15.14109.15.3	Q16663	CCL15
CCL15.3509.1.1	Q16663	CCL15
CCL16.4913.78.1	O15467	CCL16
CCL17.3519.3.2	Q92583	CCL17
CCL19.4922.13.1	Q99731	CCL19
CCL20.2468.62.3	P78556	CCL20
CCL21.2516.57.3	O00585	CCL21
CCL22.3508.78.3	O00626	CCL22
CCL23.2913.1.2	P55773	CCL23
CCL23.3028.36.2	P55773	CCL23
CCL24.4128.27.2	O00175	CCL24
CCL25.14068.29.3	O15444	CCL25
CCL25.2705.5.2	O15444	CCL25
CCL26.9168.31.3	Q9Y258	CCL26
CCL27.2192.63.10	Q9Y4X3	CCL27
CCL28.2890.59.2	Q9NRJ3	CCL28
CCL3.3040.59.1	P10147	CCL3
CCL3L1.2783.18.2	P16619	CCL3L1
CCL5.5480.49.3	P13501	CCL5
CCL7.4886.3.1	P80098	CCL7
CCL8.2785.15.2	P80075	CCL8
CCM2.12347.29.3	Q9BSQ5	CCM2
CCNB1.5347.59.3	P14635	CCNB1
CCNB1IP1.9728.4.3	Q9NPC3	CCNB1IP1
CCNC.7817.36.3	P24863	CCNC
CCNH.9848.22.3	P51946	CCNH
CCPG1.8889.5.3	Q9ULG6	CCPG1
CD109.3290.50.2	Q6YHK3	CD109
CD163.5028.59.1	Q86VB7	CD163
CD177.13116.25.3	Q8N6Q3	CD177
CD1D.8749.194.3	P15813	CD1D
CD2.7100.31.3	P06729	CD2
CD200.5112.73.3	P41217	CD200
CD200R1.5103.30.3	Q8TD46	CD200R1
CD200R1L.8980.19.3	Q6Q8B3	CD200R1L
CD207.3361.26.2	Q9UJ71	CD207
CD209.3029.52.2	Q9NNX6	CD209
CD22.2891.1.3	P20273	CD22
CD226.5062.60.3	Q15762	CD226
CD226.5721.1.3	Q15762	CD226
CD274.5060.62.3	Q9NZQ7	CD274
CD300A.5630.48.3	Q9UGN4	CD300A
CD300C.13406.161.3	Q08708	CD300C
CD300C.5066.134.3	Q08708	CD300C
CD300E.10798.4.3	Q496F6	CD300E
CD300LB.10713.151.3	A8K4G0	CD300LB
CD300LF.5623.11.3	Q8TDQ1	CD300LF
CD300LG.9909.4.3	Q6UXG3	CD300LG
CD33.3166.92.1	P20138	CD33
CD34.11285.8.3	P28906	CD34
CD34.9023.9.3	P28906	CD34
CD36.2973.15.2	P16671	CD36
CD38.11505.1.3	P28907	CD38
CD38.11513.92.3	P28907	CD38
CD3E.8069.85.3	P07766	CD3E
CD3G.7924.7.3	P09693	CD3G
CD4.3143.3.1	P01730	CD4
CD40LG.3534.14.2	P29965	CD40LG
CD44.9283.8.3	P16070	CD44
CD47.6653.58.3	Q08722	CD47
CD48.3292.75.1	P09326	CD48
CD5.14065.11.3	P06127	CD5
CD55.5069.9.3	P08174	CD55
CD58.10938.13.3	P19256	CD58
CD59.11514.196.3	P13987	CD59
CD63.9190.7.3	P08962	CD63
CD70.5807.77.3	P32970	CD70
CD70.8762.38.3	P32970	CD70
CD74.6974.6.3	P04233	CD74
CD74.8748.45.3	P04233	CD74
CD79A.7796.10.3	P11912	CD79A
CD79B.6351.55.3	P40259	CD79B
CD80.2603.61.2	P33681	CD80
CD84.3642.4.1	Q9UIB8	CD84
CD84.8770.136.3	Q9UIB8	CD84
CD86.5337.64.3	P42081	CD86
CD8B.9310.2.3	P10966	CD8B
CD93.11200.52.3	Q9NPY3	CD93
CD93.14136.234.3	Q9NPY3	CD93
CD96.9735.44.3	P40200	CD96
CD97.2822.56.2	P48960	CD97
CDC2.CCNB1.3422.4.2	"P06493	CDC2
CDC25B.12427.8.3	P30305	CDC25B
CDC42.9840.2.3	P60953	CDC42
CDC42BPA.12706.2.3	Q5VT25	CDC42BPA
CDC42BPB.3629.60.4	Q9Y5S2	CDC42BPB
CDCP1.6565.68.3	Q9H5V8	CDCP1
CDH1.2501.51.3	P12830	CDH1
CDH12.10701.30.3	P55289	CDH12
CDH12.3656.9.1	P55289	CDH12
CDH15.11215.6.3	P55291	CDH15
CDH15.5410.53.3	P55291	CDH15
CDH2.3797.1.1	P19022	CDH2
CDH3.2643.57.2	P22223	CDH3
CDH5.2819.23.2	P33151	CDH5
CDH7.7959.34.3	Q9ULB5	CDH7
CDHR1.8372.29.3	Q96JP9	CDHR1
CDHR3.8222.49.3	Q6ZTQ4	CDHR3
CDHR3.9463.26.3	Q6ZTQ4	CDHR3
CDHR5.9962.1.3	Q9HBB8	CDHR5
CDK2.CCNA2.3357.67.2	"P20248	CDK2
CDK2AP1.9450.18.3	O14519	CDK2AP1
CDK5.CDK5R1.3358.51.2	"Q00535	CDK5
CDK8.CCNC.3359.11.2	"P24863	CDK8
CDKN1B.3719.2.2	P46527	CDKN1B
CDKN2B.9874.28.3	P42772	CDKN2B
CDKN3.14178.18.3	Q16667	CDKN3
CDNF.4962.52.1	Q49AH0	CDNF
CDON.4541.49.2	Q4KMG0	CDON
CDSN.7085.81.3	Q15517	CDSN
CDY1.7097.8.3	Q9Y6F8	CDY1
CEACAM1.8031.11.3	P13688	CEACAM1
CEACAM21.7204.1.3	Q3KPI0	CEACAM21
CEACAM4.10910.6.3	O75871	CEACAM4
CEBPB.10337.83.3	P17676	CEBPB
CECR1.6077.63.3	Q9NZK5	CECR1
CEL.9796.4.3	P19835	CEL
CELA2A.7140.1.3	P08217	CELA2A
CELA3B.6357.83.3	P08861	CELA3B
CELF2.7245.2.3	O95319	CELF2
CENPW.8864.59.3	Q5EE01	CENPW
CEP57.11276.1.3	Q86XR8	CEP57
CEP57.9067.152.3	Q86XR8	CEP57
CEP57.9905.8.3	Q86XR8	CEP57
CERS5.13494.6.3	Q8N5B7	CERS5
CETN2.13078.3.3	P41208	CETN2
CFAP45.6553.68.3	Q9UL16	CFAP45
CFB.4129.72.1	P00751	CFB
CFC1.3294.55.2	P0CG37	CFC1
CFH.4159.130.1	P08603	CFH
CFHR5.3666.17.4	Q9BXR6	CFHR5
CFHR5.7885.17.3	Q9BXR6	CFHR5
CFI.2567.5.6	P05156	CFI
CFL1.4203.50.2	P23528	CFL1
CFP.2960.66.2	P27918	CFP
CGA.14056.4.3	P01215	CGA
CGA.CGB.4914.10.1	"P01215	CGA
CGA.FSHB.3032.11.2	"P01215	CGA
CGA.LHB.2953.31.2	"P01215	CGA
CGA.TSHB.3521.16.2	"P01215	CGA
CGB2.6213.10.3	Q6NT52	CGB2
CGREF1.6257.56.3	Q99674	CGREF1
CHAD.13460.4.3	O15335	CHAD
CHCHD10.11270.17.3	Q8WYQ3	CHCHD10
CHCHD2.8015.144.3	Q9Y6H1	CHCHD2
CHD7.14005.2.3	Q9P2D1	CHD7
CHEK1.2853.68.2	O14757	CHEK1
CHGA.8476.11.3	P10645	CHGA
CHGB.8235.48.3	P05060	CHGB
CHI3L1.11104.13.3	P36222	CHI3L1
CHI3L2.9383.24.3	Q15782	CHI3L2
CHIC2.10914.4.3	Q9UKJ5	CHIC2
CHIT1.3600.2.3	Q13231	CHIT1
CHKB.13117.232.3	Q9Y259	CHKB
CHL1.3601.54.3	O00533	CHL1
CHP1.12458.79.3	Q99653	CHP1
CHRD.13438.115.3	Q9H2X0	CHRD
CHRDL1.3362.61.2	Q9BU40	CHRDL1
CHRDL2.6086.15.3	Q6WN34	CHRDL2
CHST1.7803.4.3	O43916	CHST1
CHST11.7779.86.3	Q9NPF2	CHST11
CHST14.7262.191.3	Q8NCH0	CHST14
CHST15.14097.86.3	Q7LFX5	CHST15
CHST15.4469.78.2	Q7LFX5	CHST15
CHST2.4428.1.2	Q9Y4C5	CHST2
CHST3.7189.55.3	Q7LGC8	CHST3
CHST5.7020.13.3	Q9GZS9	CHST5
CHST6.4429.51.2	Q9GZX3	CHST6
CHST9.11646.4.3	Q7L1S5	CHST9
CILP.5717.2.3	O75339	CILP
CIRBP.12724.81.3	Q14011	CIRBP
CISD1.7745.3.3	Q9NZ45	CISD1
CISD2.8094.20.3	Q8N5K1	CISD2
CKAP2.5345.51.3	Q8WWK9	CKAP2
CKB.3800.71.2	P12277	CKB
CKM.2670.67.4	P06732	CKM
CLC.11094.104.3	Q05315	CLC
CLEC10A.10955.4.3	Q8IUN9	CLEC10A
CLEC11A.2966.65.2	Q9Y240	CLEC11A
CLEC12A.11187.11.3	Q5QGZ9	CLEC12A
CLEC14A.10461.57.3	Q86T13	CLEC14A
CLEC2A.10953.14.3	Q6UVW9	CLEC2A
CLEC2B.7786.83.3	Q92478	CLEC2B
CLEC2D.7054.87.3	Q9UHP7	CLEC2D
CLEC2L.8242.9.3	P0C7M8	CLEC2L
CLEC4D.7752.31.3	Q8WXI8	CLEC4D
CLEC4E.7077.9.4	Q9ULY5	CLEC4E
CLEC4M.3030.3.2	Q9H2X3	CLEC4M
CLEC5A.8282.15.3	Q9NY25	CLEC5A
CLEC6A.6911.103.3	Q6EIG7	CLEC6A
CLEC7A.3603.60.5	Q9BXN2	CLEC7A
CLECL1.14308.192.3	Q8IZS7	CLECL1
CLIC4.12491.23.3	Q9Y696	CLIC4
