id	prot_name	trait	file
4908	ENG	Endoglin	4908_6_ENG_Endoglin.txt.gz
4906	F5	Coagulation_Factor_V	4906_35_F5_Coagulation_Factor_V.txt.gz
4905	COTL1	Coactosin_like_protein	4905_63_COTL1_Coactosin_like_protein.txt.gz
4904	CASP2	Caspase_2	4904_7_CASP2_Caspase_2.txt.gz
4900	C3	C3a	4900_8_C3_C3a.txt.gz
4891	GCG	Glucagon	4891_50_GCG_Glucagon.txt.gz
4890	POMC	ACTH	4890_10_POMC_ACTH.txt.gz
4889	WNT7A	WNT7A	4889_82_WNT7A_WNT7A.txt.gz
4886	CCL7	MCP_3	4886_3_CCL7_MCP_3.txt.gz
4883	INS	Insulin	4883_56_INS_Insulin.txt.gz
4880	GDF2	GDF2	4880_21_GDF2_GDF2.txt.gz
4878	F10	Coagulation_Factor_X	4878_3_F10_Coagulation_Factor_X.txt.gz
4876	F9	Coagulation_Factor_IX	4876_32_F9_Coagulation_Factor_IX.txt.gz
4874	ANG	Angiogenin	4874_3_ANG_Angiogenin.txt.gz
4867	VEGFA	VEGF121	4867_15_VEGFA_VEGF121.txt.gz
4866	NTRK2	TrkB	4866_59_NTRK2_TrkB.txt.gz
4862	BMPR2	BMP_RII	4862_63_BMPR2_BMP_RII.txt.gz
4851	IL1A	IL_1a	4851_25_IL1A_IL_1a.txt.gz
4842	GPC3	Glypican_3	4842_62_GPC3_Glypican_3.txt.gz
4840	CSF3	G_CSF	4840_73_CSF3_G_CSF.txt.gz
4834	EPHA2	Epithelial_cell_kinase	4834_61_EPHA2_Epithelial_cell_kinase.txt.gz
4832	TNFRSF10A	TRAIL_R1	4832_75_TNFRSF10A_TRAIL_R1.txt.gz
4831	SELL	sL_Selectin	4831_4_SELL_sL_Selectin.txt.gz
4829	SFN	STRATIFIN	4829_43_SFN_STRATIFIN.txt.gz
4811	ITIH4	ITI_heavy_chain_H4	4811_33_ITIH4_ITI_heavy_chain_H4.txt.gz
4807	COL8A1	CO8A1	4807_13_COL8A1_CO8A1.txt.gz
4801	LPO	PERL	4801_13_LPO_PERL.txt.gz
4785	SERPINA6	CBG	4785_30_SERPINA6_CBG.txt.gz
4775	GSN	Gelsolin	4775_34_GSN_Gelsolin.txt.gz
4771	SMPDL3A	ASM3A	4771_10_SMPDL3A_ASM3A.txt.gz
4769	OLFM4	Olfactomedin_4	4769_10_OLFM4_Olfactomedin_4.txt.gz
4763	AFM	Afamin	4763_31_AFM_Afamin.txt.gz
4721	TFF3	TFF3	4721_54_TFF3_TFF3.txt.gz
4719	PDIA3	Protein_disulfide_isomerase_A3	4719_58_PDIA3_Protein_disulfide_isomerase_A3.txt.gz
4718	PPIB	PPIB	4718_5_PPIB_PPIB.txt.gz
4717	IL3	IL_3	4717_55_IL3_IL_3.txt.gz
4712	APOD	Apo_D	4712_28_APOD_Apo_D.txt.gz
4708	HSD17B1	17_beta_HSD_1	4708_3_HSD17B1_17_beta_HSD_1.txt.gz
4706	EPB41	41	4706_17_EPB41_41.txt.gz
4703	LTA	TNF_b	4703_87_LTA_TNF_b.txt.gz
4697	CSF2	GM_CSF	4697_59_CSF2_GM_CSF.txt.gz
4693	HIBADH	3HIDH	4693_72_HIBADH_3HIDH.txt.gz
4673	IL6	IL_6	4673_13_IL6_IL_6.txt.gz
4588	PPY	PH	4588_1_PPY_PH.txt.gz
4569	SORCS2	SORC2	4569_52_SORCS2_SORC2.txt.gz
4568	SLITRK5	SLIK5	4568_17_SLITRK5_SLIK5.txt.gz
4567	SH2D1A	SH21A	4567_82_SH2D1A_SH21A.txt.gz
4566	RSPO2	RSPO2	4566_24_RSPO2_RSPO2.txt.gz
4564	PLXNC1	PLXC1	4564_2_PLXNC1_PLXC1.txt.gz
4563	PLCG1	PLCG1	4563_61_PLCG1_PLCG1.txt.gz
4562	NXPH1	NXPH1	4562_1_NXPH1_NXPH1.txt.gz
4560	LCK	LCK	4560_34_LCK_LCK.txt.gz
4559	KYNU	KYNU	4559_64_KYNU_KYNU.txt.gz
4557	KIRREL3	KIRR3	4557_61_KIRREL3_KIRR3.txt.gz
4556	IL34	IL_34	4556_10_IL34_IL_34.txt.gz
4553	HDGFRP2	HDGR2	4553_65_HDGFRP2_HDGR2.txt.gz
4551	ADGRG5	GP114	4551_72_ADGRG5_GP114.txt.gz
4549	FUT5	FUT5	4549_78_FUT5_FUT5.txt.gz
4548	FUT3	Fucosyltransferase_3	4548_4_FUT3_Fucosyltransferase_3.txt.gz
4499	PDGFA	PDGF_AA	4499_21_PDGFA_PDGF_AA.txt.gz
4496	MMP12	MMP_12	4496_60_MMP12_MMP_12.txt.gz
4493	IL11	IL_11	4493_92_IL11_IL_11.txt.gz
4479	SERPING1	C1_Esterase_Inhibitor	4479_14_SERPING1_C1_Esterase_Inhibitor.txt.gz
4476	ZAP70	ZAP70	4476_22_ZAP70_ZAP70.txt.gz
4467	SPARCL1	SPARCL1	4467_49_SPARCL1_SPARCL1.txt.gz
4459	PCSK7	PCSK7	4459_68_PCSK7_PCSK7.txt.gz
4453	LRRTM3	LRRT3	4453_83_LRRTM3_LRRT3.txt.gz
2809	ADAMTS4	ADAMTS_4	2809_25_ADAMTS4_ADAMTS_4.txt.gz
9999	IRF6	IRF6	9999_1_IRF6_IRF6.txt.gz
9997	UBXN4	UBXN4	9997_12_UBXN4_UBXN4.txt.gz
9995	DUT	DUT	9995_6_DUT_DUT.txt.gz
9994	ATP4B	ATP4B	9994_217_ATP4B_ATP4B.txt.gz
9993	ZNF264	ZN264	9993_11_ZNF264_ZN264.txt.gz
9989	LRRC24	LRC24	9989_12_LRRC24_LRC24.txt.gz
9986	NPW	Neuropeptide_W	9986_14_NPW_Neuropeptide_W.txt.gz
9984	YIPF6	YIPF6	9984_12_YIPF6_YIPF6.txt.gz
9983	PRSS35	PRS35	9983_97_PRSS35_PRS35.txt.gz
9981	KIAA1467	K1467	9981_18_KIAA1467_K1467.txt.gz
9979	AMIGO1	AMGO1	9979_13_AMIGO1_AMGO1.txt.gz
9974	DLL3	DLL3	9974_8_DLL3_DLL3.txt.gz
9971	CSMD2	CSMD2	9971_5_CSMD2_CSMD2.txt.gz
9970	UBXN4	UBXN4	9970_7_UBXN4_UBXN4.txt.gz
9969	SLC22A16	S22AG	9969_8_SLC22A16_S22AG.txt.gz
9964	MYZAP	MYZAP	9964_10_MYZAP_MYZAP.txt.gz
9963	PCDHB10	PCDBA	9963_19_PCDHB10_PCDBA.txt.gz
9962	CDHR5	MUCDL	9962_1_CDHR5_MUCDL.txt.gz
9960	TBC1D5	TBCD5	9960_2_TBC1D5_TBCD5.txt.gz
9959	TMEM59L	TM59L	9959_60_TMEM59L_TM59L.txt.gz
9957	RNF114	RN114	9957_9_RNF114_RN114.txt.gz
9956	ADAM15	ADA15	9956_7_ADAM15_ADA15.txt.gz
9955	RNF148	RN148	9955_40_RNF148_RN148.txt.gz
9954	NPIPB3	NPPL3	9954_2_NPIPB3_NPPL3.txt.gz
9952	TFAM	TFAM	9952_57_TFAM_TFAM.txt.gz
9951	FBXL4	FBXL4	9951_36_FBXL4_FBXL4.txt.gz
9950	LAG3	LAG_3	9950_229_LAG3_LAG_3.txt.gz
9947	TOPBP1	TOPB1	9947_22_TOPBP1_TOPB1.txt.gz
9942	NXT1	NXT1	9942_2_NXT1_NXT1.txt.gz
9941	PCDHB1	PCDB1	9941_70_PCDHB1_PCDB1.txt.gz
9940	DUSP28	DUS28	9940_35_DUSP28_DUS28.txt.gz
9937	GJA1	CXA1	9937_7_GJA1_CXA1.txt.gz
9936	LNX1	LNX1	9936_27_LNX1_LNX1.txt.gz
9934	PITPNA	PIPNA	9934_29_PITPNA_PIPNA.txt.gz
9933	ATP1B4	AT1B4	9933_49_ATP1B4_AT1B4.txt.gz
9932	SEMA4F	SEM4F	9932_49_SEMA4F_SEM4F.txt.gz
9931	KRT1	Keratin_1	9931_20_KRT1_Keratin_1.txt.gz
9930	GABBR2	GABR2	9930_48_GABBR2_GABR2.txt.gz
9929	HSD17B7	DHB7	9929_16_HSD17B7_DHB7.txt.gz
9928	LECT1	LECT1	9928_125_LECT1_LECT1.txt.gz
9927	TNS4	TENS4	9927_96_TNS4_TENS4.txt.gz
9926	S100P	S100P	9926_4_S100P_S100P.txt.gz
9925	SCARF2	SREC_II	9925_56_SCARF2_SREC_II.txt.gz
9923	SOS1	SOS1	9923_6_SOS1_SOS1.txt.gz
9918	CALB1	Calbindin_D28	9918_23_CALB1_Calbindin_D28.txt.gz
9916	LRRC4B	LRC4B	9916_146_LRRC4B_LRC4B.txt.gz
9913	RRBP1	RRBP1	9913_4_RRBP1_RRBP1.txt.gz
9910	MTAP	MTAP	9910_9_MTAP_MTAP.txt.gz
9907	TNKS	Tankyrase_1	9907_216_TNKS_Tankyrase_1.txt.gz
9906	SPOCK3	TICN3	9906_21_SPOCK3_TICN3.txt.gz
9901	EGLN1	EGLN1	9901_28_EGLN1_EGLN1.txt.gz
9900	NEFH	NFH	9900_36_NEFH_NFH.txt.gz
9899	KIF1C	KIF1C	9899_28_KIF1C_KIF1C.txt.gz
9898	ARID1A	ARI1A	9898_161_ARID1A_ARI1A.txt.gz
9897	MCM6	MCM6	9897_9_MCM6_MCM6.txt.gz
9896	FOXG1	FOXGB	9896_21_FOXG1_FOXGB.txt.gz
9895	ERCC4	XPF	9895_77_ERCC4_XPF.txt.gz
9894	MYO6	MYO6	9894_13_MYO6_MYO6.txt.gz
9893	OAZ1	Ornithine_decarboxylase_antizyme	9893_27_OAZ1_Ornithine_decarboxylase_antizyme.txt.gz
9889	AFAP1L1	AF1L1	9889_42_AFAP1L1_AF1L1.txt.gz
9887	RBBP6	RBBP6	9887_40_RBBP6_RBBP6.txt.gz
9886	XRCC4	XRCC4	9886_28_XRCC4_XRCC4.txt.gz
9885	RAP2A	RAP2A	9885_41_RAP2A_RAP2A.txt.gz
9884	PPIL1	PPIL1	9884_8_PPIL1_PPIL1.txt.gz
9883	GLO1	Glyoxalase_I	9883_29_GLO1_Glyoxalase_I.txt.gz
9880	TDO2	T23O	9880_33_TDO2_T23O.txt.gz
9877	CRKL	CRKL	9877_28_CRKL_CRKL.txt.gz
9876	ALDOC	aldolase_C	9876_20_ALDOC_aldolase_C.txt.gz
9875	THOC1	THOC1	9875_107_THOC1_THOC1.txt.gz
9874	CDKN2B	p15_INK4b	9874_28_CDKN2B_p15_INK4b.txt.gz
9873	ESRRA	ERRalpha	9873_17_ESRRA_ERRalpha.txt.gz
9872	CTNNA2	CTNA2	9872_23_CTNNA2_CTNA2.txt.gz
9870	WARS	SYWC	9870_17_WARS_SYWC.txt.gz
9869	NFKB1	NF_kappa_B_p105	9869_28_NFKB1_NF_kappa_B_p105.txt.gz
9867	FBP2	F16P2	9867_23_FBP2_F16P2.txt.gz
9865	UBE2B	UBE2B	9865_40_UBE2B_UBE2B.txt.gz
9864	TTC1	TTC1	9864_38_TTC1_TTC1.txt.gz
9863	TPM4	Tropomyosin_4	9863_1_TPM4_Tropomyosin_4.txt.gz
9859	SAT1	SSAT_1	9859_180_SAT1_SSAT_1.txt.gz
9856	DHPS	DHYS	9856_22_DHPS_DHYS.txt.gz
9855	RHOA	Rho_A	9855_10_RHOA_Rho_A.txt.gz
9853	IFIT2	IFIT2	9853_3_IFIT2_IFIT2.txt.gz
9850	EIF1AX	IF1AX	9850_38_EIF1AX_IF1AX.txt.gz
9849	APEX1	APEX1	9849_13_APEX1_APEX1.txt.gz
9848	CCNH	Cyclin_H	9848_22_CCNH_Cyclin_H.txt.gz
9847	TGIF2	TGIF2	9847_21_TGIF2_TGIF2.txt.gz
9846	ARHGDIB	Rho_GDI_beta	9846_32_ARHGDIB_Rho_GDI_beta.txt.gz
9844	ACTN2	ACTN2	9844_138_ACTN2_ACTN2.txt.gz
9843	ACTN1	ACTN1	9843_5_ACTN1_ACTN1.txt.gz
9842	CTNNB1	b_Catenin	9842_2_CTNNB1_b_Catenin.txt.gz
9841	PAICS	Multifunctional_protein_ADE2	9841_197_PAICS_Multifunctional_protein_ADE2.txt.gz
9840	CDC42	Cdc42Hs	9840_2_CDC42_Cdc42Hs.txt.gz
9839	TIRAP	Tirap	9839_148_TIRAP_Tirap.txt.gz
9838	SMAD1	SMAD1	9838_4_SMAD1_SMAD1.txt.gz
9837	NQO1	NAD_P_H_dehydrogenase	9837_60_NQO1_NAD_P_H_dehydrogenase.txt.gz
9836	DCK	DCK	9836_20_DCK_DCK.txt.gz
9835	ALDH1A3	AL1A3	9835_16_ALDH1A3_AL1A3.txt.gz
9834	ADH1B	ADH1B	9834_62_ADH1B_ADH1B.txt.gz
9832	HGD	HGD	9832_33_HGD_HGD.txt.gz
9831	G3BP2	G3BP2	9831_12_G3BP2_G3BP2.txt.gz
9830	VAV3	VAV3	9830_109_VAV3_VAV3.txt.gz
9829	SULT2A1	SULT_2A1	9829_91_SULT2A1_SULT_2A1.txt.gz
9828	LDHC	LDHC	9828_86_LDHC_LDHC.txt.gz
9826	FHIT	Fragile_histidine_triad_protein	9826_135_FHIT_Fragile_histidine_triad_protein.txt.gz
9823	DHFR	DYR	9823_2_DHFR_DYR.txt.gz
9819	NUP210	PO210	9819_110_NUP210_PO210.txt.gz
9816	ISOC1	ISOC1	9816_37_ISOC1_ISOC1.txt.gz
9815	ARHGAP1	RHG01	9815_5_ARHGAP1_RHG01.txt.gz
9808	TNRC6B	TNR6B	9808_41_TNRC6B_TNR6B.txt.gz
9805	SEMA4B	SEM4B	9805_51_SEMA4B_SEM4B.txt.gz
9802	PNPLA2	PLPL2	9802_27_PNPLA2_PLPL2.txt.gz
9800	NDUFB8	NDUB8	9800_20_NDUFB8_NDUB8.txt.gz
9796	CEL	CEL	9796_4_CEL_CEL.txt.gz
9794	ADCK4	ADCK4	9794_17_ADCK4_ADCK4.txt.gz
9793	IGDCC4	IGDC4	9793_145_IGDCC4_IGDC4.txt.gz
9790	BRSK2	BR_serine_threonine_kinase_2	9790_28_BRSK2_BR_serine_threonine_kinase_2.txt.gz
9789	SYNE2	Nesprin_2	9789_52_SYNE2_Nesprin_2.txt.gz
9786	IER3	IEX1	9786_310_IER3_IEX1.txt.gz
9783	DNAJC11	DJC11	9783_75_DNAJC11_DJC11.txt.gz
9779	HERPUD2	HERP2	9779_63_HERPUD2_HERP2.txt.gz
9778	TMEM52B	TM52B	9778_45_TMEM52B_TM52B.txt.gz
9774	RNF150	RN150	9774_59_RNF150_RN150.txt.gz
9773	RNF149	RN149	9773_15_RNF149_RN149.txt.gz
9772	NLGN2	NLGN2	9772_153_NLGN2_NLGN2.txt.gz
9769	DNER	DNER	9769_48_DNER_DNER.txt.gz
9767	RIPPLY1	RIPP1	9767_22_RIPPLY1_RIPP1.txt.gz
9765	NDE1	NDE1	9765_4_NDE1_NDE1.txt.gz
9764	HNRNPF	HNRPF	9764_79_HNRNPF_HNRPF.txt.gz
9762	VASP	VASP	9762_14_VASP_VASP.txt.gz
9759	IDO1	INDO	9759_13_IDO1_INDO.txt.gz
9758	RPS4X	RS4X	9758_17_RPS4X_RS4X.txt.gz
9757	ENAH	ENAH	9757_29_ENAH_ENAH.txt.gz
9754	NQO2	Quinone_reductase_2	9754_33_NQO2_Quinone_reductase_2.txt.gz
9753	EZR	Ezrin	9753_17_EZR_Ezrin.txt.gz
9751	YBX1	NSEP1	9751_72_YBX1_NSEP1.txt.gz
9748	GSTM3	GSTM3_3	9748_31_GSTM3_GSTM3_3.txt.gz
9747	MARK3	MARK3	9747_48_MARK3_MARK3.txt.gz
9745	EIF4E2	IF4E2	9745_20_EIF4E2_IF4E2.txt.gz
9744	DNAJA4	DNJA4	9744_139_DNAJA4_DNJA4.txt.gz
9742	DDX39B	BAT1	9742_59_DDX39B_BAT1.txt.gz
9739	MSH2	MSH2	9739_4_MSH2_MSH2.txt.gz
9738	FAF2	FAF2	9738_7_FAF2_FAF2.txt.gz
9735	CD96	TACT	9735_44_CD96_TACT.txt.gz
9730	GHDC	GHDC	9730_22_GHDC_GHDC.txt.gz
9728	CCNB1IP1	CIP1	9728_4_CCNB1IP1_CIP1.txt.gz
9723	MMRN2	EMILIN_3	9723_105_MMRN2_EMILIN_3.txt.gz
9719	MMP16	MMP_16	9719_145_MMP16_MMP_16.txt.gz
9715	IGSF3	IGSF3	9715_15_IGSF3_IGSF3.txt.gz
9713	PDGFRL	PGFRL	9713_67_PDGFRL_PGFRL.txt.gz
9638	TIGIT	TIGIT	9638_2_TIGIT_TIGIT.txt.gz
9609	ZNF275	ZN275	9609_25_ZNF275_ZN275.txt.gz
9607	PRR27	CD040	9607_39_PRR27_CD040.txt.gz
9606	NUP210L	P210L	9606_4_NUP210L_P210L.txt.gz
9600	THSD7A	THS7A	9600_55_THSD7A_THS7A.txt.gz
9599	PIANP	PIANP	9599_6_PIANP_PIANP.txt.gz
9598	CSMD1	CSMD1	9598_23_CSMD1_CSMD1.txt.gz
9595	B4GALT2	B4GT2	9595_11_B4GALT2_B4GT2.txt.gz
9594	SLC30A5	ZNT5	9594_30_SLC30A5_ZNT5.txt.gz
9590	COX7A2L	COX7R	9590_10_COX7A2L_COX7R.txt.gz
9585	CLMP	ACAM	9585_80_CLMP_ACAM.txt.gz
9583	RNF24	RNF24	9583_17_RNF24_RNF24.txt.gz
9582	SUSD1	SUSD1	9582_93_SUSD1_SUSD1.txt.gz
9581	PRPF6	PRP6	9581_4_PRPF6_PRP6.txt.gz
9580	LAMC2	Laminin_gamma_2	9580_5_LAMC2_Laminin_gamma_2.txt.gz
9579	PRRG4	TMG4	9579_59_PRRG4_TMG4.txt.gz
9578	MANSC4	MANS4	9578_263_MANSC4_MANS4.txt.gz
9577	SYT2	SYT2	9577_26_SYT2_SYT2.txt.gz
9576	MNX1	MNX1	9576_58_MNX1_MNX1.txt.gz
9574	BIN1	BIN1	9574_11_BIN1_BIN1.txt.gz
9573	TXNDC11	TXD11	9573_108_TXNDC11_TXD11.txt.gz
9568	FCAMR	FCAMR	9568_289_FCAMR_FCAMR.txt.gz
9565	PAWR	PAWR	9565_6_PAWR_PAWR.txt.gz
9561	VCAN	CSPG2	9561_21_VCAN_CSPG2.txt.gz
9557	MANSC1	MANS1	9557_5_MANSC1_MANS1.txt.gz
9550	TTC17	TTC17	9550_153_TTC17_TTC17.txt.gz
9547	EMID1	EMID1	9547_29_EMID1_EMID1.txt.gz
9545	GZMK	Granzyme_K	9545_156_GZMK_Granzyme_K.txt.gz
9544	C7orf69	CG069	9544_24_C7orf69_CG069.txt.gz
9543	COG8	COG8	9543_131_COG8_COG8.txt.gz
9541	B3GALT1	B3GT1	9541_15_B3GALT1_B3GT1.txt.gz
9536	EDDM3A	EP3A	9536_16_EDDM3A_EP3A.txt.gz
9532	WBP1L	WBP1L	9532_5_WBP1L_WBP1L.txt.gz
9531	LST1	LST1	9531_24_LST1_LST1.txt.gz
9526	CLPSL1	COLL1	9526_3_CLPSL1_COLL1.txt.gz
9525	PTK7	PTK7	9525_1_PTK7_PTK7.txt.gz
9524	SPATA31D4	S31D4	9524_46_SPATA31D4_S31D4.txt.gz
9523	ITM2C	ITM2C	9523_34_ITM2C_ITM2C.txt.gz
9522	AIFM1	AIF	9522_3_AIFM1_AIF.txt.gz
9518	PLA1A	PLA1A	9518_95_PLA1A_PLA1A.txt.gz
9513	FGF22	FGF22	9513_9_FGF22_FGF22.txt.gz
9511	NXPH2	NXPH2	9511_61_NXPH2_NXPH2.txt.gz
9509	TMEM38B	TM38B	9509_4_TMEM38B_TM38B.txt.gz
9506	APOL1	Apo_L1	9506_10_APOL1_Apo_L1.txt.gz
9504	RAB27A	RB27A	9504_19_RAB27A_RB27A.txt.gz
9503	NMS	NMS	9503_1_NMS_NMS.txt.gz
9495	CXCL17	VCC1	9495_10_CXCL17_VCC1.txt.gz
9490	C4orf32	CD032	9490_3_C4orf32_CD032.txt.gz
9487	GHRH	Growth_hormone_releasing_factor	9487_60_GHRH_Growth_hormone_releasing_factor.txt.gz
9486	DEFB125	DB125	9486_13_DEFB125_DB125.txt.gz
9484	DSG2	Desmoglein_2	9484_75_DSG2_Desmoglein_2.txt.gz
9482	NUDT9	NUDT9	9482_110_NUDT9_NUDT9.txt.gz
9478	PRPSAP1	KPRA	9478_69_PRPSAP1_KPRA.txt.gz
9475	GPX5	GPX5	9475_22_GPX5_GPX5.txt.gz
9474	ASGR2	ASGR2	9474_22_ASGR2_ASGR2.txt.gz
9470	METTL24	MET24	9470_15_METTL24_MET24.txt.gz
9468	LMAN2	Lectin__mannose_binding_2	9468_8_LMAN2_Lectin__mannose_binding_2.txt.gz
9459	FAS	Fas__soluble	9459_7_FAS_Fas__soluble.txt.gz
9457	CAV2	CAV2	9457_3_CAV2_CAV2.txt.gz
9453	VEGFB	VEGF_B	9453_12_VEGFB_VEGF_B.txt.gz
9451	UMOD	Uromodulin	9451_20_UMOD_Uromodulin.txt.gz
9450	CDK2AP1	CDKA1	9450_18_CDK2AP1_CDKA1.txt.gz
9449	C4BPA	C4b_binding_protein_alpha_chain	9449_150_C4BPA_C4b_binding_protein_alpha_chain.txt.gz
9445	C19orf18	CS018	9445_44_C19orf18_CS018.txt.gz
9444	DGCR6	DGCR6	9444_70_DGCR6_DGCR6.txt.gz
9443	CTSK	cathepsin_K	9443_137_CTSK_cathepsin_K.txt.gz
9416	CPM	CBPM	9416_77_CPM_CBPM.txt.gz
9412	ACVR2B	Activin_RIIB	9412_52_ACVR2B_Activin_RIIB.txt.gz
9409	TPSAB1	TRYB1	9409_11_TPSAB1_TRYB1.txt.gz
9402	DCBLD1	DCBD1	9402_18_DCBLD1_DCBD1.txt.gz
9401	TRABD2A	CB089	9401_57_TRABD2A_CB089.txt.gz
9398	GALP	GALP	9398_30_GALP_GALP.txt.gz
9394	CPQ	Aminopeptidase	9394_19_CPQ_Aminopeptidase.txt.gz
9392	MGAT4A	MGT4A	9392_43_MGAT4A_MGT4A.txt.gz
9391	PCSK1N	PCSK1	9391_60_PCSK1N_PCSK1.txt.gz
9388	MCEE	MCEE	9388_18_MCEE_MCEE.txt.gz
9386	TTC9B	TTC9B	9386_42_TTC9B_TTC9B.txt.gz
9385	GAA	GAA	9385_4_GAA_GAA.txt.gz
9384	CAMP	Cathelicidin_peptide	9384_17_CAMP_Cathelicidin_peptide.txt.gz
9383	CHI3L2	CH3L2	9383_24_CHI3L2_CH3L2.txt.gz
9380	PLA2G12B	sPLA_2__XIII	9380_2_PLA2G12B_sPLA_2__XIII.txt.gz
9379	SMIM10	CX069	9379_248_SMIM10_CX069.txt.gz
9378	FIBCD1	FBCD1	9378_6_FIBCD1_FBCD1.txt.gz
9377	KITLG	SCF	9377_25_KITLG_SCF.txt.gz
9374	NNAT	NNAT	9374_24_NNAT_NNAT.txt.gz
9372	MPZL2	MPZL2	9372_157_MPZL2_MPZL2.txt.gz
9370	GGH	GGH	9370_69_GGH_GGH.txt.gz
9369	LRRC4C	NGL1	9369_174_LRRC4C_NGL1.txt.gz
9368	LRTM1	LRTM1	9368_64_LRTM1_LRTM1.txt.gz
9366	IL21R	IL_21_sR	9366_54_IL21R_IL_21_sR.txt.gz
9365	EYS	EYS	9365_91_EYS_EYS.txt.gz
9363	CT55	CX048	9363_11_CT55_CX048.txt.gz
9361	PCDHAC2	PCDC2	9361_7_PCDHAC2_PCDC2.txt.gz
9360	EDIL3	EDIL3	9360_33_EDIL3_EDIL3.txt.gz
9359	DLK2	EGFL9	9359_9_DLK2_EGFL9.txt.gz
9357	CREG1	CREG1	9357_4_CREG1_CREG1.txt.gz
9350	FSTL4	FSTL4	9350_3_FSTL4_FSTL4.txt.gz
9348	C1RL	C1RL1	9348_1_C1RL_C1RL1.txt.gz
9345	WFDC13	WFD13	9345_436_WFDC13_WFD13.txt.gz
9343	IL2RB	IL_2_sRb	9343_16_IL2RB_IL_2_sRb.txt.gz
9341	PDGFD	PDGFD	9341_1_PDGFD_PDGFD.txt.gz
9340	FKBP14	FKB14	9340_17_FKBP14_FKB14.txt.gz
9339	FKBP2	FKBP2	9339_204_FKBP2_FKBP2.txt.gz
9337	TAC1	TKN1	9337_43_TAC1_TKN1.txt.gz
9335	PSG9	PSG9	9335_28_PSG9_PSG9.txt.gz
9333	ERP27	ERP27	9333_59_ERP27_ERP27.txt.gz
9332	DEFB136	DB136	9332_6_DEFB136_DB136.txt.gz
9329	TREML1	TRML1	9329_28_TREML1_TRML1.txt.gz
9327	LYPD1	LYPD1	9327_3_LYPD1_LYPD1.txt.gz
9326	ITIH2	ITI_heavy_chain_H2	9326_33_ITIH2_ITI_heavy_chain_H2.txt.gz
9322	RCN1	RCN1	9322_15_RCN1_RCN1.txt.gz
9321	NMB	NMB	9321_400_NMB_NMB.txt.gz
9319	TMED4	TMED4	9319_59_TMED4_TMED4.txt.gz
9317	LRRC25	LRC25	9317_4_LRRC25_LRC25.txt.gz
9316	WFDC1	WFDC1	9316_67_WFDC1_WFDC1.txt.gz
9315	MUL1	MUL1	9315_16_MUL1_MUL1.txt.gz
9314	PSG5	PSG5	9314_9_PSG5_PSG5.txt.gz
